Bairro,Pop
Centro,44.074
Capoeiras,19.323
Trindade,15.031
Agronômica,14.591
Saco dos Limões,13.771
Coqueiros,13.592
Monte Cristo,12.634
Jardim Atlântico,12.047
Itacorubi,10.307
Costeira do Pirajubaé,9.301
Capivari,8.686
Tapera da Base,7.081
Estreito,7.007
Monte Verde,6.198
Balneário,6.110
São João do Rio Vermelho,5.571
Canto,5.560
Abraão,5.210
Santa Mônica,5.081
Lagoa,5.081
Saco Grande,5.002
Córrego Grande,4.833
Canasvieiras,4.822
Pantanal,4.703
Coloninha,4.432
Barra da Lagoa,3.812
Carianos,3.656
José Mendes,3.514
Ingleses Centro,3.142
João Paulo,3.057
Campeche Leste,2.974
Campeche Sul,2.802
Rio Tavares Central,2.613
Santinho,2.521
Ponta das Canas,2.473
Vargem do Bom Jesus,2.286
Armação,2.247
Cachoeira do Bom Jesus Leste,2.241
Pântano do Sul,2.234
Itaguaçu,2.229
Jurere Leste,2.031
Campeche Norte,2.009
Vargem Grande,1.875
Campeche Central,1.815
Ressacada,1.690
Morro das Pedras,1.527
Alto Ribeirão Leste,1.493
Alto Ribeirão,1.487
Ribeirão da Ilha[1],1.376
Santo Antônio,1.352
Sambaqui,1.345
Ingleses Sul,1.323
Bom Abrigo,1.262
Jurere Oeste,1.221
Porto da Lagoa,1.200
Cachoeira do Bom Jesus,1.199
Rio Tavares do Norte,1.082
Pedregal,1.034
Ratones,1.023
Canto da Lagoa,980
Retiro,943
Cacupé,863
Lagoa Pequena,857
Barra do Sambaqui,781
Caiacanga,769
Lagoinha do Norte,651
Base Aérea,605
Pedrita,589
Açores,552
Costeira do Ribeirão,540
Moenda,533
Tapera,430
Daniela,426
Vargem Pequena,418
Canto dos Araçás,408
Recanto dos Açores,382
Canto do Lamim,348
Vargem de Fora,345
Dunas da Lagoa,331
Autódromo,299
Forte,266
Ingleses Norte,203
Caieira,170
Praia Brava,130
Praia Mole,108
